CourseID,CNUM,SECTION,INSTNAME,A +,A,A -,B +,B,B -,C +,C,C -,D +,D,D -,F
AFRICAM, 004B,1,N HIMMELMAN,1,10,16,12,15,14,5,0,1,2,0,0,0
AFRICAM, 005A,1,B CATANESE,3,11,8,7,13,9,5,4,1,1,1,1,2
AFRICAM,109,1,R ALLEN,0,19,2,2,1,0,0,0,0,0,0,0,0
AFRICAM, 112B,1,P HINTZEN,0,9,9,10,14,0,0,3,1,0,0,0,2
AFRICAM,117,1,U TAYLOR,1,8,5,4,3,6,0,2,6,2,1,1,4
AFRICAM,122,1,H FRYE,0,9,9,12,8,4,0,2,1,0,0,0,1
AFRICAM,144,2,L RAIFORD,0,3,9,13,3,2,1,0,1,0,1,0,0
AFRICAM, 156AC,1,A DE LEON,0,55,20,5,0,3,3,1,0,0,0,0,0
AFRICAM,159,1,D SCOTT,0,6,3,4,1,3,3,3,1,0,1,0,4
AFRICAM,159,2,D SCOTT,1,6,1,1,1,1,1,0,0,0,0,0,0
AFRICAM,159,4,A NANDA,1,2,2,4,2,0,0,0,0,0,0,0,0
AFRICAM,C011B,1,S MCHOMBO,2,2,3,1,2,1,0,0,0,0,0,0,0
AFRICAM,C011B,2,S MCHOMBO,1,2,4,0,1,1,2,0,0,0,0,0,0
AFRICAM,R001A,1,A NANDA,2,3,7,8,2,1,2,0,0,0,0,0,1
AFRICAM,R001B,1,A NANDA,2,6,7,10,10,1,2,1,0,0,0,0,1
AFRICAM,R001B,2,L GIULIANETTI,0,4,8,3,4,0,1,1,0,0,0,0,1
AMERSTD,10,1,K MORAN,0,17,27,23,16,17,5,5,0,0,0,0,3
AMERSTD, 010AC,1,M COHEN,0,14,3,7,10,1,5,2,0,0,1,1,1
AMERSTD,101,1,C PALMER,0,1,9,13,8,7,9,6,4,0,0,0,2
AMERSTD,101,2,S SAUL,0,5,3,4,3,0,1,1,1,0,0,0,0
AMERSTD,102,1,S STEEN,0,7,6,8,4,4,3,3,2,1,0,1,1
AMERSTD,102,2,K MORAN,2,4,7,5,10,7,2,2,0,0,1,0,2
AMERSTD,191,1,K BIESTMAN,0,4,3,2,1,3,2,0,3,0,0,0,1
AMERSTD,191,2,C PALMER,0,4,4,2,0,3,4,0,0,0,0,0,0
AMERSTD,191,3,K BIESTMAN,0,4,2,2,4,4,2,0,1,0,1,0,1
AMERSTD,C112B,1,P GROTH,0,2,2,1,7,2,1,5,3,0,1,0,2
AMERSTD,C171,1,L MOZINGO,1,2,1,4,5,0,0,0,0,0,0,0,1
AMERSTD,C172,1,C ROSEN,0,3,7,15,13,7,2,0,0,0,2,0,1
ANTHRO,1,1,T DEACON,7,45,46,48,41,43,41,25,8,0,3,0,2
ANTHRO, 002AC,1,L WILKIE,3,23,36,26,52,21,6,13,3,1,3,2,7
ANTHRO, 003AC,1,N SCHEPER-HUGHES,0,44,65,42,32,17,14,3,3,0,1,0,6
ANTHRO,114,1,X LIU,6,31,34,28,15,11,7,9,0,1,1,1,5
ANTHRO, 124AC,1,P KIRCH,6,19,16,4,12,6,2,1,0,0,1,0,0
ANTHRO, 129C,1,J HABU,0,10,13,4,7,0,0,0,0,0,0,0,0
ANTHRO, 134B,1,M SHACKLEY,2,10,0,0,0,0,0,0,0,0,0,0,0
ANTHRO,135,1,C HASTORF,0,5,2,1,2,1,0,1,0,0,0,0,1
ANTHRO, 138B,1,N BRAUN,0,2,5,5,3,0,0,0,0,0,0,0,0
ANTHRO,139,1,L NADER,2,52,59,28,29,6,5,3,0,0,0,0,4
ANTHRO, 156B,1,P RABINOW,6,10,7,5,4,0,1,0,2,0,0,0,0
ANTHRO,158,1,C HIRSCHKIND,2,10,7,9,4,3,2,0,0,0,0,0,0
ANTHRO,162,1,K YOUNG,0,10,4,2,3,2,1,1,0,0,0,0,0
ANTHRO,166,2,J JACOBS,0,17,14,6,5,1,0,1,1,0,3,0,2
ANTHRO, 174AC,1,K LIGHTFOOT,2,40,35,11,12,4,2,3,0,0,0,0,1
ANTHRO,181,1,S MAHMOOD,1,7,12,11,8,3,0,0,1,0,1,0,1
ANTHRO,183,1,L HUBBARD,0,7,12,11,10,1,1,1,0,0,1,0,1
ANTHRO,189,2,S PANDOLFO,3,18,4,0,0,0,0,0,0,0,0,0,0
ANTHRO,189,3,J HOLSTON,2,17,2,0,1,0,0,0,0,0,0,0,1
ANTHRO,R005B,1,A SARGENT,0,2,3,1,4,0,0,0,1,0,0,0,0
ANTHRO,R005B,3,N LEITE,0,5,6,1,2,0,0,0,0,0,0,0,0
ANTHRO,R005B,4,J CHIO,0,2,3,3,2,2,1,0,0,0,0,0,0
ANTHRO,R005B,5,M EPPINGER,1,10,2,0,0,0,1,0,0,0,0,0,0
ANTHRO,R005B,6,C HUANG,1,5,5,3,0,0,0,0,0,0,0,0,0
ANTHRO,R005B,7,M GOODWIN,0,0,10,2,0,1,0,0,0,0,0,0,1
ARABIC, 001B,4,K SCHWARTZ,2,4,4,1,2,0,0,0,0,0,0,0,0
ARABIC, 001B,6,H BAZIAN,3,4,6,2,0,0,0,0,0,0,0,0,0
ARABIC, 020B,2,H NEALE,1,3,2,1,2,1,0,0,1,0,0,0,0
ARABIC, 020B,3,S S'HIRI,2,7,6,2,2,0,0,0,0,0,0,0,0
ARABIC,108,1,J HAYES,0,7,3,1,1,0,0,0,0,0,0,0,0
ARCH, 100A,1,W DI NAPOLI,0,13,14,22,18,7,1,0,0,0,0,0,0
ARCH, 100B,1,G CREEDON,0,5,15,18,17,5,3,4,0,0,0,0,1
ARCH,101,1,M ANDERSON,0,2,4,0,6,0,0,0,0,0,0,0,0
ARCH,111,1,N ALSAYYAD,0,7,7,1,3,2,0,2,0,0,0,0,0
ARCH,128,1,M COMERIO,0,20,1,0,0,0,0,0,0,0,0,0,0
ARCH,130,1,C CRYSLER,10,21,9,19,5,1,4,0,0,0,0,0,0
ARCH,140,1,C BENTON,1,20,22,27,19,17,8,10,2,0,0,0,1
ARCH,160,1,L MALLAS,3,2,29,17,14,7,1,0,0,2,0,0,1
ARCH, 170B,1,B LITTMANN,0,27,47,60,42,24,6,2,0,2,0,0,7
ART,8,1,J MCNAMARA,15,42,34,8,3,1,0,1,0,0,0,0,0
ART,12,1,C NAGASAWA,0,14,1,1,0,0,0,0,0,0,0,0,0
ART,12,2,V DEJESUS,9,5,4,0,0,0,0,0,0,0,0,0,0
ART,12,3,L RODRIGUEZ,6,5,2,3,1,0,0,0,0,0,0,0,0
ART,13,1,J MCNAMARA,0,14,3,0,0,0,0,0,0,0,0,0,0
ART,13,2,K SCHNELL,0,15,2,0,3,2,1,0,0,0,0,0,0
ART,14,1,B REIMAN,1,10,0,1,1,1,0,0,0,0,0,0,0
ART,14,2,D LINGER,2,8,5,2,1,0,0,1,0,0,0,0,0
ART,102,1,C INNIS,3,13,3,0,0,0,0,0,0,0,0,0,0
ART,102,2,S CARNWATH,1,2,4,3,11,1,0,1,0,0,0,0,1
ART,117,1,C NAGASAWA,0,19,1,0,0,0,0,0,0,0,0,0,0
ART,117,3,A DADGAR,8,13,9,1,0,0,0,0,0,0,0,0,0
ART,118,1,A FERNANDEZ,6,15,1,0,0,0,0,0,0,0,0,0,0
ART,120,2,R HUSSONG,0,9,2,2,1,1,0,0,0,0,0,0,0
ART,123,1,R HUSSONG,0,15,2,2,0,0,0,0,0,0,0,0,1
ART,130,1,P SUAREZ-WOLFE,4,6,1,1,4,0,0,0,0,0,0,0,0
ART,132,1,R SHAW,1,13,0,6,2,0,1,1,0,0,0,0,1
ART,137,1,R SHAW,3,9,0,3,1,0,0,0,0,0,0,0,0
ART,138,1,B REIMAN,3,9,3,0,0,0,1,0,0,0,0,0,0
ART,142,1,K RADLEY,13,13,0,0,0,0,0,0,0,0,0,0,0
ART,160,4,K PATTON,0,8,0,6,1,0,0,0,0,0,0,0,0
ART,165,1,K SHERWOOD,0,13,4,6,1,0,1,1,0,0,0,0,0
ART,178,1,J MCKAY,7,5,2,2,0,1,1,0,0,0,0,0,0
ASAMST, 020A,1,C CHOY,2,45,51,24,14,3,1,4,2,0,0,0,0
ASAMST, 020B,1,H DONG,0,43,9,2,1,0,0,0,0,0,0,0,0
ASAMST,125,1,K UM,0,3,6,6,6,5,1,1,0,0,0,0,2
ASAMST,127,1,J SINGH,0,11,4,1,0,0,0,0,0,0,0,0,0
ASAMST,145,1,M OMI,1,9,14,5,3,1,3,1,1,0,1,0,1
ASAMST,146,1,J TAKAHASHI,1,11,10,3,1,0,0,0,0,0,0,0,0
ASAMST,151,1,K YAMANAKA,0,21,3,1,1,1,0,0,0,0,0,0,0
ASAMST,175,1,C CHOY,0,9,15,1,1,0,0,0,0,0,0,0,0
ASAMST,181,1,S CHAN,1,4,7,5,3,2,0,0,0,0,0,0,0
ASAMST,190,1,H BAZIAN,12,22,8,0,0,0,0,0,0,0,0,0,0
ASAMST,190,3,K YAMANAKA,0,7,2,2,0,0,0,0,0,0,0,0,0
ASAMST,R002A,1,A LEONG,0,1,11,12,4,1,0,0,1,0,0,0,0
ASAMST,R002A,2,J LEW,0,2,12,11,5,0,0,0,0,0,0,0,0
ASAMST,R002B,1,A LEONG,0,4,8,10,6,0,0,0,0,0,0,0,0
ASAMST,R002B,2,A LEBO-PLANAS,4,10,4,4,3,1,1,0,0,0,0,0,0
ASIANST,150,1,K YAMANAKA,1,12,4,0,0,0,0,0,0,0,0,0,0
ASTRON, 007B,1,J BLOOM,2,6,6,6,4,5,2,3,2,1,2,0,2
ASTRON,10,1,M DAVIS,6,5,8,6,0,4,6,1,4,0,2,0,1
ASTRON,C012,1,G MARCY,6,17,8,6,6,4,1,4,2,0,1,0,2
ASTRON,C161,1,C MA,2,5,1,1,2,2,2,0,2,0,0,0,0
BIO ENG,104,1,T JOHNSON,4,20,18,12,56,9,5,0,0,0,0,2,0
BIO ENG,110,1,S KUMAR,2,57,10,11,33,2,2,5,0,0,1,0,0
BIO ENG,112,1,M MOFRAD,1,8,7,4,3,1,1,0,0,0,0,1,1
BIO ENG,113,1,I CONBOY,9,12,5,0,5,3,0,1,1,0,0,0,0
BIO ENG,115,1,T JOHNSON,3,6,5,7,7,1,1,0,0,0,0,1,0
BIO ENG,116,1,S LI,0,32,19,5,2,0,1,0,0,0,0,0,0
BIO ENG, 121L,10,M DUECK,3,9,1,0,2,1,0,0,0,0,0,0,0
BIO ENG, 121L,11,M DUECK,1,6,5,2,2,0,0,0,0,0,0,0,0
BIO ENG, 140L,1,J ANDERSON,0,4,3,2,1,5,0,0,1,0,0,0,0
BIO ENG,143,1,T HEAD-GORDON,2,6,6,3,0,0,1,2,0,1,0,0,0
BIO ENG,C117,1,L PRUITT,0,9,9,8,3,0,0,0,0,0,0,0,0
BIO-CDB, 001A,1,M MEIGHAN,6,94,30,63,85,42,112,80,61,13,17,12,27
BIO-CDB, 001AL,1,M MEIGHAN,7,101,79,53,80,46,94,81,29,4,7,8,9
BIO-IB, 001B,1,L FELDMAN,7,81,46,82,192,53,103,50,30,0,24,0,6
BIO-PB,11,1,M SHAPIRA,2,7,9,12,11,9,3,6,4,2,7,4,1
BIO-PB, 011L,1,M SHAPIRA,2,2,7,1,0,1,0,0,0,0,0,0,1
BIO-PB, 011L,3,M SHAPIRA,2,3,5,0,1,1,0,0,0,0,0,0,0
CELTIC,125,1,D MELIA,0,6,2,7,0,3,2,0,1,0,0,0,0
CELTIC,128,1,A REJHON,1,12,2,3,3,1,0,0,0,0,0,0,0
CELTIC,R001A,1,K KLAR,1,12,2,5,2,0,0,0,0,0,0,0,0
CELTIC,R001B,1,D HELLMAN,0,0,2,0,4,4,3,0,2,0,0,0,0
CHEM, 001A,1,H NITSCHE,17,127,61,24,128,20,9,30,2,0,7,0,3
CHEM, 001A,2,H NITSCHE,8,54,23,12,44,10,4,13,1,0,5,0,1
CHEM, 001B,1,R SAYKALLY,3,19,14,1,17,12,16,32,2,0,15,0,3
CHEM, 003A,1,J FRECHET,27,41,45,40,43,36,33,39,38,0,31,0,45
CHEM, 003A,2,J FRECHET,35,44,55,59,51,57,40,63,42,0,19,0,57
CHEM, 003AL,1,S PEDERSEN,0,72,192,36,22,8,2,0,0,0,0,0,2
CHEM, 003AL,2,S PEDERSEN,0,78,215,20,12,9,4,0,1,0,1,0,0
CHEM, 003B,1,S PEDERSEN,8,76,34,86,50,62,67,65,52,0,7,0,41
CHEM, 003BL,1,N VIERNES,8,264,74,16,12,8,1,1,0,0,0,0,3
CHEM, 004B,1,L MORETTO,1,6,19,29,29,29,29,14,9,0,3,0,4
CHEM,100,1,A STACY,0,24,6,0,0,0,0,0,0,0,0,1,0
CHEM, 104A,1,T TILLEY,1,7,5,1,9,0,2,7,0,0,0,0,2
CHEM, 104B,1,J ARNOLD,4,8,4,5,10,5,1,4,0,0,0,0,1
CHEM,105,1,R COHEN,1,3,2,3,6,3,1,2,5,1,0,0,2
CHEM, 112B,1,R SARPONG,8,14,8,13,33,9,4,7,6,0,0,0,3
CHEM,114,1,N VIERNES,4,13,11,7,4,2,1,0,0,0,0,0,1
CHEM,115,1,R BERGMAN,1,6,0,0,6,1,0,0,0,0,0,0,0
CHEM, 120A,1,M HEAD-GORDON,1,12,9,16,18,7,14,24,1,2,1,0,4
CHEM, 120B,1,D CHANDLER,2,8,6,6,11,6,0,6,11,0,0,0,5
CHEM,125,1,H YANG,5,9,12,2,5,1,2,1,2,0,0,1,2
CHEM,135,1,M CHANG,1,5,3,5,4,4,3,1,4,0,0,0,0
CHEM,195,1,P GEISSLER,5,8,2,0,0,0,0,0,0,0,0,0,0
CHEM,C130,1,D WEMMER,3,10,1,7,5,2,0,9,1,0,0,0,2
CHEM,C150,1,J LONG,1,5,1,3,1,0,0,0,0,0,1,0,0
CHEM,C182,1,K BOERING,0,7,3,1,6,1,0,1,0,0,0,0,0
CHICANO,20,1,A DAVILA-SANCHEZ,0,5,19,3,0,0,0,0,0,0,0,0,0
CHICANO,70,1,D MONTEJANO,3,5,1,1,3,0,0,2,1,0,0,0,0
CHICANO, 135B,1,R TELLES,1,30,8,3,0,0,0,1,0,0,0,0,0
CHICANO, 135C,1,R TELLES,1,5,9,6,0,0,0,0,0,0,0,0,1
CHICANO,159,1,A SARAGOZA,1,9,10,7,10,4,1,1,0,0,0,0,2
CHICANO,165,1,R GROSFOGUEL,8,9,3,2,1,0,0,0,0,0,0,0,0
CHICANO,172,1,B GUERRERO,0,3,17,6,2,0,0,0,0,0,0,0,0
CHICANO,174,1,M GONZALEZ,0,8,7,0,6,3,0,2,0,0,0,0,1
CHICANO,180,1,C RODRIGUEZ,1,3,4,2,2,0,1,0,0,0,1,0,1
CHICANO,180,3,A SARAGOZA,1,5,6,5,4,1,0,1,0,0,0,0,2
CHINESE, 001B,1,Y YANG,0,6,3,1,1,1,1,0,0,0,0,0,0
CHINESE, 001B,2,Y YANG,1,7,6,0,3,0,0,0,0,0,0,0,0
CHINESE, 001B,3,Y YANG,0,8,7,2,2,0,0,0,0,0,0,0,0
CHINESE, 001B,4,Y YANG,0,8,7,0,2,0,1,0,0,0,0,0,0
CHINESE, 001B,5,Y YANG,0,4,4,4,0,1,1,0,0,0,0,0,0
CHINESE, 001BX,1,L LIU,0,9,6,1,0,1,0,0,0,0,0,0,0
CHINESE, 001BX,2,L LIU,0,8,6,1,1,0,0,0,1,0,0,0,0
CHINESE, 001BX,3,L LIU,0,11,4,3,1,0,0,0,0,0,0,0,0
CHINESE, 001BX,4,L LIU,0,9,5,0,0,0,0,0,0,0,0,0,0
CHINESE, 001BY,1,D LIU,0,6,5,2,1,0,0,0,0,0,0,0,0
CHINESE, 001BY,2,D LIU,0,10,5,1,0,0,0,0,0,0,0,0,0
CHINESE, 001BY,3,D LIU,0,14,2,2,1,0,0,0,0,0,0,0,0
CHINESE, 007B,1,W SCHAEFER,0,4,13,11,4,7,4,0,0,0,1,0,0
CHINESE, 010B,2,L HUANG,0,6,0,5,2,2,0,0,1,0,0,0,0
CHINESE, 010B,3,L HUANG,0,3,7,3,1,1,0,1,0,0,0,0,0
CHINESE, 010BX,2,X LIU,0,7,2,4,0,0,0,0,0,0,0,0,0
CHINESE, 010BX,3,D LIU,0,6,7,3,0,2,0,0,0,0,0,0,0
CHINESE, 010BX,4,D LIU,0,7,5,4,1,1,0,0,0,0,0,0,0
CHINESE, 010BX,5,L ZHANG,0,12,1,3,0,0,0,0,0,0,0,0,0
CHINESE, 010BX,6,L ZHANG,0,12,5,2,3,1,0,0,0,0,0,0,0
CHINESE, 100BX,1,I LI,0,5,8,1,0,1,0,0,0,0,0,0,0
CHINESE, 100BX,2,Y CHIH,0,5,3,2,1,0,0,0,0,0,0,0,0
CHINESE, 100BX,3,Y CHIH,0,5,4,4,2,1,0,0,0,0,0,0,0
CHINESE, 100BX,4,Y SHIAO,0,3,7,0,1,0,0,0,0,0,0,0,0
CHINESE,102,1,I LI,0,7,6,3,0,0,0,0,0,0,0,0,0
CHINESE,102,2,Y SHIAO,0,14,2,1,0,0,0,0,0,0,0,0,0
CHINESE, 110B,1,D RUDOLPH,2,3,5,3,6,0,0,0,0,0,0,0,0
CHINESE,112,1,I LI,0,10,7,2,0,0,0,0,0,0,0,0,0
CHINESE,130,1, CSIKSZENTMIHALYI,0,8,2,2,2,0,0,1,0,0,0,0,0
CHINESE,155,1,R ASHMORE,0,9,7,1,0,0,0,0,0,0,0,0,0
CHINESE,156,1,A JONES,0,2,10,5,6,0,0,0,0,0,0,0,0
CHINESE,165,1,Z CHEN,0,4,6,4,5,2,2,0,0,0,0,0,0
CHINESE,186,1, CSIKSZENTMIHALYI,0,13,5,3,1,1,0,0,0,0,0,0,0
CHM ENG,141,1,B SMIT,2,7,10,7,6,5,6,8,5,7,7,10,15
CHM ENG,142,1,E IGLESIA,2,15,13,11,17,7,0,20,0,0,3,0,3
CHM ENG, 150A,1,S MULLER,5,13,11,8,15,14,16,7,2,1,4,0,4
CHM ENG,154,1,N BALSARA,1,16,4,4,10,5,0,2,0,0,0,0,0
CHM ENG,157,1,A BELL,0,7,2,15,8,5,2,1,0,0,2,0,0
CHM ENG,160,1,R UPADHYE,0,4,5,8,13,9,6,1,0,0,0,0,0
CHM ENG,162,1,P WALLMAN,1,17,8,8,11,2,2,8,0,0,0,0,0
CHM ENG,171,1,C RADKE,1,6,3,1,3,2,1,0,0,0,0,0,0
CHM ENG,179,1,D GRAVES,2,3,3,8,7,5,0,1,1,0,0,0,0
