CourseID,CNUM,SECTION,INSTNAME,A +,A,A -,B +,B,B -,C +,C,C -,D +,D,D -,F
AEROSPC, 001A,1,K SHARP,2,8,8,5,4,0,1,1,1,0,0,0,0
AEROSPC, 002A,1,K SHARP,2,3,7,3,4,1,2,0,1,0,0,1,1
AFRICAM, 004A,1,G NWOKEJI,0,4,10,7,8,6,4,2,3,1,1,3,2
AFRICAM, 005A,1,B CATANESE,1,10,13,10,16,5,7,1,2,0,0,1,2
AFRICAM, 011A,1,S MCHOMBO,3,8,6,2,3,0,1,0,1,0,0,0,0
AFRICAM, 011A,2,S MCHOMBO,6,6,3,2,5,0,0,3,0,0,0,0,0
AFRICAM, 027AC,1,P HINTZEN,1,6,15,24,19,10,14,1,4,0,1,0,1
AFRICAM, 028AC,1,S SMALL,2,14,7,22,9,5,0,2,1,0,0,0,0
AFRICAM, 039E,1,J PATTON,0,4,5,4,3,2,0,1,0,0,0,0,1
AFRICAM, 039F,1,C STANLEY,0,3,3,1,4,2,0,0,0,0,0,0,1
AFRICAM,100,1,L RAIFORD,0,5,4,5,4,2,0,0,2,0,1,0,0
AFRICAM,101,1,H FRYE,0,4,1,3,2,1,1,0,0,0,0,0,0
AFRICAM,111,1,S SMALL,0,8,1,14,2,0,0,0,0,0,0,0,0
AFRICAM, 112A,1,P HINTZEN,3,27,1,1,7,0,0,1,0,0,1,0,3
AFRICAM,116,1,U TAYLOR,1,4,6,7,9,3,5,3,0,2,0,0,3
AFRICAM,121,1,C HENRY,2,3,3,2,1,2,2,2,2,0,1,0,2
AFRICAM,155,1,A NANDA,0,3,4,5,1,4,0,0,0,0,0,0,0
AFRICAM,159,1,A DE LEON,0,4,3,2,3,2,0,0,0,0,0,0,0
AFRICAM,C133A,1,N SUAD-BAKARI,0,11,1,0,2,0,0,1,0,0,0,0,0
AFRICAM,C134,1,M LAGUERRE,0,13,5,0,1,0,0,0,0,0,0,0,0
AFRICAM,R001B,1,A NANDA,0,4,5,3,5,5,2,0,2,0,1,0,0
AMERSTD,10,1,M BRILLIANT,0,4,12,9,21,9,4,8,1,1,3,0,5
AMERSTD,101,1,C PALMER,0,5,6,6,11,5,3,1,2,1,0,1,0
AMERSTD,101,2,K MORAN,0,7,25,21,15,10,3,4,0,0,0,0,3
